,filename,review_text,Sentiment,SV,cluster_label
151,151,"                                                                                                       Meh                                                                                                Overrated   It keeps banging the same drum about what youd do in a game if it was your life versus anothers life                                 Its got a certain style, but the acting was amateurish and melodramatic                                                                                         Sorta like anime                                                                         ",1,57.89473684210527,5
253,253,"                                                                                                                                                                                                   Sorry                                                                                                                                                      Thats a crude summation of this brilliant series                                                                                                                              Its a brutal, tense satire on the economic systems we are all trapped in   Would those who lose most at the game, who gamble and get into debt far beyond what they can repay as wage slaves, would they risk their lives to be free? Of course; they would play the Squid Game                                                                                                                                                   Motivations and characters are carefully fleshed out                                                                      The concept of the games we play as children having life & death consequences in adult life is intelligently, deviously developed                                                                                                                  It combines quality, international art house drama style with thrills & bloody horror                                                                                                                              If youre ready for something challenging and intense play the Squid Game                                                                                                                                                                         ",0,57.14285714285714,5
